code;qty;costo;descuento
0101978;50;;0
10010001;3;;0
10010002;1;;0
10010003;1;;0
10010004;1;;0
10010005;0;;0
10010006;0;;0
10010008;1;;0
10010009;2;;0
10010015;0;;0
10010020;0;;0
10010029;4;;0
10010030;0;;0
10010033;3;;0
10010034;1;;0
10010036;0;;0
10010037;5;;0
10010038;0;;0
10010040;0;;0
10010042;0;;0
10010043;3;;0
10010045;2;;0
10010048;1;;0
10010051;3;;0
10010055;4;;0
10010056;0;;0
10010058;0;;0
10010060;1;;0
10010061;1;;0
10010066;0;;0
10010067;0;;0
10010070;0;;0
10010071;0;;0
10010072;0;;0
10010074;0;;0
10010075;0;;0
10010076;0;;0
10010081;0;;0
10010082;0;;0
10010083;0;;0
10010267;1;;0
10020002;0;;0
10020004;3;;0
10020007;0;;0
10020010;0;;0
10020012;0;;0
10020014;0;;0
10020015;0;;0
10020022;0;;0
10020023;1;;0
10020029;0;;0
10020031;0;;0
10030004;0;;0
10030006;804;;0
10030007;109;;0
10030008;1;;0
10030009;435;;0
10030010;538;;0
10030011;101;;0
10030012;797;;0
10030013;128;;0
10030014;3;;0
10030015;147;;0
10030016;2;;0
10030021;886;;0
10030022;0;;0
10030023;0;;0
10030024;0;;0
10030025;0;;0
10030027;0;;0
10030029;0;;0
10030030;0;;0
10030033;0;;0
10030050;28;;0
10030051;0;;0
10030052;5;;0
10030054;0;;0
10030055;1;;0
10030059;0;;0
10030060;5;;0
10030065;27;;0
10030067;0;;0
10030068;1;;0
10030071;15;;0
10030077;0;;0
10040003;0;;0
10040009;0;;0
10040010;0;;0
10040015;0;;0
10040019;1;;0
10040020;0;;0
10040026;0;;0
10040032;0;;0
10040033;6;;0
10040034;1;;0
10040035;0;;0
10040039;2;;0
10040040;2;;0
10040043;2;;0
10040044;0;;0
10040046;1;;0
10040049;1;;0
10040053;0;;0
10040054;1;;0
10040056;3;;0
10040057;1;;0
10040058;0;;0
10040061;0;;0
10040068;1;;0
10040070;1;;0
10040072;0;;0
10040074;0;;0
10040075;1;;0
10040076;5;;0
10040079;0;;0
10040080;1;;0
10040081;2;;0
10040083;2;;0
10040084;1;;0
10040085;0;;0
10040086;1;;0
10040088;0;;0
10040090;0;;0
10040095;0;;0
10040096;0;;0
10040098;14;;0
10040100;0;;0
10040104;4;;0
10040107;3;;0
10040108;0;;0
10040115;9;;0
10040119;0;;0
10040120;6;;0
10040121;2;;0
10040123;0;;0
10040130;21;;0
10040131;0;;0
10040139;12;;0
10040140;1;;0
10040144;1;;0
10040145;3;;0
10040148;0;;0
10040154;0;;0
10040157;0;;0
10040159;2;;0
10040162;4;;0
10040163;2;;0
10040166;0;;0
10040167;0;;0
10040168;0;;0
10040175;0;;0
10040177;34;;0
10040186;2;;0
10040189;1;;0
10040191;0;;0
10040193;0;;0
10040196;2;;0
10040204;1;;0
10040205;1;;0
10040213;0;;0
10040214;1;;0
10040225;1;;0
10040226;2;;0
10040229;2;;0
10040230;11;;0
10040236;0;;0
10040237;0;;0
10040238;14;;0
10040239;0;;0
10040240;1;;0
10040242;4;;0
10040243;8;;0
10040251;0;;0
10040253;23;;0
10040258;1;;0
10040259;4;;0
10040265;2;;0
10040267;0;;0
10040273;0;;0
10040274;25;;0
10040275;0;;0
10040290;0;;0
10040291;0;;0
10040296;12;;0
10040299;0;;0
10040301;0;;0
10040302;0;;0
10040303;0;;0
10040304;0;;0
10041292;0;;0
10050002;0;;0
10050003;2837;;0
10050004;5892;;0
10050005;215;;0
10050008;2;;0
10050010;5;;0
10050013;10;;0
10050014;0;;0
10050015;0;;0
10050016;5510;;0
